text,SIMILAR_TO,char
translate,TAKES_ARGUMENTS,three
translate,TAKES_ARGTYPE,text
translate,RETURNS,text
translate,RELATED_TO,language_translation
keywords,TAKES_ARGTYPE,text
keywords,TAKES_ARGUMENTS,one
keywords,RETURNS,text
keywords,RELATED_TO,text_reduction
ketwords,RELATED_TO,keyword_extraction
summarize,TAKES_ARGTYPE,text
summarize,TAKES_ARGUMENTS,one
summarize,RETURNS,text
summarize,RELATED_TO,text_reduction
summarize,RELATED_TO,text_summarization
entities,TAKES_ARGTYPE,text
entities,TAKES_ARGUMENTS,one
entities,RETURNS,coll
entities,RELATED_TO,entity_extraction
verbs,TAKES_ARGTYPE,text
verbs,TAKES_ARGUMENTS,one
verbs,RETURNS,coll
verbs,RELATED_TO,verb_extraction
nouns,TAKES_ARGTYPE,text
nouns,TAKES_ARGUMENTS,one
nouns,RETURNS,coll
nouns,RELATED_TO,noun_extraction
parse,TAKES_ARGTYPE,text
parse,TAKES_ARGUMENTS,one
parse,RETURNS,obj
parse,RELATED_TO,text_parsing
describe,TAKES_ARGTYPE,obj
describe,TAKES_ARGUMENTS,one
describe,RETURNS,text
describe,RELATED_TO,work_order_description
classify,TAKES_ARGUMENTS,two
classify,TAKES_ARGTYPE,img
classify,RETURNS,text
classify,RELATED_TO,image_classification
caption,TAKES_ARGUMENTS,two
caption,TAKES_ARGTYPE,img
caption,RETURNS,text
caption,RELATED_TO,image_captioning
frequency,TAKES_ARGUMENTS,one
frequency,TAKES_ARGTYPE,img
frequency,RETURNS,img
frequency,RELATED_TO,image_analysis
frequency,RELATED_TO,spectrogram
resize,TAKES_ARGUMENTS,three
resize,TAKES_ARGTYPE,img
resize,TAKES_ARGTYPE,number
resize,RETURNS,img
resize,RELATED_TO,image_resizing
crop,TAKES_ARGUMENTS,three
crop,TAKES_ARGTYPE,img
crop,TAKES_ARGTYPE,number
crop,RETURNS,img
crop,RELATED_TO,image_cropping
monochrome,TAKES_ARGUMENTS,one
monochrome,TAKES_ARGTYPE,img
monochrome,RETURNS,img
monochrome,RELATED_TO,image_analysis
monochrome,RELATED_TO,image_monochrome
segment,TAKES_ARGUMENTS,two
segment,TAKES_ARGTYPE,img
segment,RETURNS,obj
segment,RELATED_TO,image_segmentation
segment,RELATED_TO,image_data_extraction
detect_objects,TAKES_ARGUMENTS,two
detect_objects,TAKES_ARGTYPE,img
detect_objects,RETURNS,obj
detect_objects,RELATED_TO,object_detection
detect_objects,RELATED_TO,image_data_extraction
feature_map,TAKES_ARGUMENTS,two
feature_map,TAKES_ARGTYPE,img
feature_map,RETURNS,vec
feature_map,RELATED_TO,image_analysis
feature_map,RELATED_TO,image_features
ocr,TAKES_ARGUMENTS,one
ocr,TAKES_ARGTYPE,img
ocr,RETURNS,obj
ocr,RELATED_TO,character_recognition
ocr,RELATED_TO,image_data_extraction
text_sections,TAKES_ARGUMENTS,one
text_sections,TAKES_ARGTYPE,img
text_sections,RETURNS,obj
text_sections,RELATED_TO,image_data_extraction
text_sections,RELATED_TO,image_text_sections
sort,TAKES_ARGUMENTS,one
sort,TAKES_ARGTYPE,coll
sort,RETURNS,coll
sort,RELATED_TO,sorting
inverse_sort,TAKES_ARGUMENTS,one
inverse_sort,TAKES_ARGTYPE,coll
inverse_sort,RETURNS,coll
inverse_sort,RELATED_TO,sorting
inverse_sort,RELATED_TO,inverse_sorting
map,TAKES_ARGUMENTS,two
map,TAKES_ARGTYPE,coll
map,TAKES_ARGTYPE,op
map,RETURNS,coll
map,RELATED_TO,map_reduce
multiply_vec,TAKES_ARGUMENTS,two
multiply_vec,TAKES_ARGTYPE,vec
multiply_vec,RETURNS,vec
multiply,RELATED_TO,vector_multiplication
add_vec,TAKES_ARGUMENTS,two
add_vec,TAKES_ARGTYPE,vec
add_vec,RETURNS,vec
add_vec,RELATED_TO,vector_addition
subtract_vec,TAKES_ARGUMENTS,two
subtract_vec,TAKES_ARGTYPE,vec
subtract_vec,RETURNS,vec
subtract_vec,RELATED_TO,vector_subtraction
divide_vec,TAKES_ARGUMENTS,two
divide_vec,TAKES_ARGTYPE,vec
divide_vec,RETURNS,vec
divide_vec,RELATED_TO,vector_division
cosine_vec,TAKES_ARGUMENTS,two
cosine_vec,TAKES_ARGTYPE,vec
cosine_vec,RETURNS,number
cosine_vec,RELATED_TO,vector_cosine_angle
multiply_mat,TAKES_ARGUMENTS,two
multiply_mat,TAKES_ARGTYPE,mat
multiply_mat,RETURNS,mat
multiply_mat,RELATED_TO,matrix_multiplication
add_mat,TAKES_ARGUMENTS,two
add_mat,TAKES_ARGTYPE,mat
add_mat,RETURNS,mat
add_mat,RELATED_TO,matrix_addition
subtract_mat,TAKES_ARGUMENTS,two
subtract_mat,TAKES_ARGTYPE,mat
subtract_mat,RETURNS,mat
subtract_mat,RELATED_TO,matrix_subtraction
divide_mat,TAKES_ARGUMENTS,two
divide_mat,TAKES_ARGTYPE,mat
divide_mat,RETURNS,mat
divide_mat,RELATED_TO,matrix_division
trace_mat,TAKES_ARGUMENTS,one
trace_mat,TAKES_ARGTYPE,mat
trace_mat,RETURNS,number
trace_mad,RELATED_TO,matrix_trace
eigen_mat,TAKES_ARGUMENTS,one
eigen_mat,TAKES_ARGTYPE,mat
eigen_mat,RETURNS,obj
eigen_mat,RELATED_TO,matrix_eigenvectors
svd_mat,TAKES_ARGUMENTS,one
svd_mat,TAKES_ARGTYPE,mat
svd_mat,RETURNS,obj
svd_mat,RELATED_TO,singular_value_decomposition
logic_if,TAKES_ARGUMENTS,one
logic_if,TAKES_ARGTYPE,text
logic_if,RETURNS,bool
logic_if,RELATED_TO,if_statement
logic_or,TAKES_ARGUMENTS,one
logic_or,TAKES_ARGTYPE,text
logic_or,RETURNS,bool
logic_or,RELATED_TO,or_statement
logic_and,TAKES_ARGUMENTS,one
logic_and,TAKES_ARGTYPE,text
logic_and,RETURNS,bool
logic_and,RELATED_TO,and_statement
logic_not,TAKES_ARGUMENTS,one
logic_not,TAKES_ARGTYPE,text
logic_not,RETURNS,bool
logic_not,RELATED_TO,not_statement
logic_implies,TAKES_ARGUMENTS,one
logic_implies,TAKES_ARGTYPE,text
logic_implies,RETURNS,bool
logic_implies,RELATED_TO,implies_statement
logic_therefore,TAKES_ARGUMENTS,one
logic_therefore,TAKES_ARGTYPE,text
logic_therefore,RETURNS,bool
logic_therefore,RELATED_TO,therefore_statement
logic_forall,TAKES_ARGUMENTS,one
logic_forall,TAKES_ARGTYPE,text
logic_forall,RETURNS,bool
logic_forall,RELATED_TO,forall_statement
logic_gt,TAKES_ARGUMENTS,two
logic_gt,TAKES_ARGTYPE,text
logic_gt,RETURNS,bool
logic_gt,RELATED_TO,greater_than_statement
logic_lt,TAKES_ARGUMENTS,two
logic_lt,TAKES_ARGTYPE,text
logic_lt,RETURNS,bool
logict_lt,RELATED_TO,less_than_statement
logic_eq,TAKES_ARGUMENTS,two
logic_eq,TAKES_ARGTYPE,text
logic_eq,RETURNS,bool
logic_eq,RELATED_TO,equal_statement
logic_neq,TAKES_ARGUMENTS,two
logic_neq,TAKES_ARGTYPE,text
logic_neq,RETURNS,bool
logic_neq,RELATED_TO,not_equal_statement
logic_approxeq,TAKES_ARGUMENTS,two
logic_approxeq,TAKES_ARGTYPE,text
logic_approxeq,RETURNS,bool
logic_approxeq,RELATED_TO,approximately_equal_statement
logic_proportional,TAKES_ARGUMENTS,two
logic_proportional,TAKES_ARGTYPE,text
logic_proportional,RETURNS,bool
logic_proportional,RELATED_TO,proportional_statement
logic_probtrue,TAKES_ARGUMENTS,two
logic_probtrue,TAKES_ARGTYPE,text
logic_probtrue,TAKES_ARGTYPE,number
logic_probtrue,RETURNS,bool
logic_probtrue,RELATED_TO,probable_true_statement
logic_probfalse,TAKES_ARGUMENTS,two
logic_probfalse,TAKES_ARGTYPE,text
logic_probfalse,TAKES_ARGTYPE,number
logic_probfalse,RETURNS,bool
logic_probfalse,RELATED_TO,probable_false_statement
capitalize,TAKES_ARGUMENTS,one
capitalize,TAKES_ARGTYPE,char
capitalize,RETURNS,char
capitalize,RELATED_TO,character_capitalization
lowercase,TAKES_ARGUMENTS,one
lowercase,TAKES_ARGTYPE,char
lowercase,RETURNS,char
lowercase,RELATED_TO,character_lowercasing
shift_char,TAKES_ARGUMENTS,two
shift_char,TAKES_ARGTYPE,char
shift_char,TAKES_ARGTYPE,number
shift_char,RETURNS,char
shift_char,RELATED_TO,character_shifting
replace_char,TAKES_ARGUMENTS,three
replace_char,TAKES_ARGTYPE,text
replace_char,TAKES_ARGTYPE,char
replace_char,RETURNS,text
replace_char,RELATED_TO,character_replacement
copy_char,TAKES_ARGUMENTS,one
